Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E07000181,West Oxfordshire,85,83,43,3,40,2,48, 0.89 , 0.83 
E07000245,West Suffolk,186,182,56,19,126,4,76, 0.74 , 1.66 
E09000033,Westminster,578,536,143,14,393,42,127, 1.13 , 3.10 
E08000010,Wigan,696,691,290,130,401,5,148, 1.97 , 2.72 
E06000054,Wiltshire,453,452,191,5,261,1,219, 0.87 , 1.19 
E07000094,Winchester,94,94,59,6,35,0,52, 1.14 , 0.68 
E06000040,Windsor & Maidenhead,108,108,49,2,59,0,63, 0.78 , 0.94 
E08000015,Wirral,298,286,104,42,182,12,147, 0.71 , 1.24 
E07000217,Woking,74,64,39,14,25,10,40, 0.99 , 0.63 
E06000041,Wokingham,152,151,68,14,83,1,69, 0.99 , 1.20 
E08000031,Wolverhampton,476,463,142,26,321,13,109, 1.30 , 2.94 
E07000237,Worcester,248,245,110,10,135,3,45, 2.47 , 3.03 
E07000229,Worthing,134,132,38,14,94,2,51, 0.74 , 1.83 
E07000238,Wychavon,135,134,43,14,91,1,58, 0.74 , 1.56 
E07000128,Wyre,132,126,96,26,30,6,51, 1.87 , 0.59 
E07000239,Wyre Forest,185,185,97,17,88,0,47, 2.07 , 1.88 
E06000014,York,225,215,148,18,67,10,88, 1.68 , 0.76 
